	title	is_fake	title_processed
3294	Китаю предсказали мировое лидерство по ВВП к 2030 году	0	китаю предсказали мировое лидерство по ввп к  году
2982	Найдены древнейшие письмена Западного полушария	0	найдены древнейшие письмена западного полушария
5161	Красэйр прекратит полеты по большинству направлений	0	красэйр прекратит полеты по большинству направлений
2156	Кейт Уинслет снимется в фильме Кеннета Браны	0	кейт уинслет снимется в фильме кеннета браны
1062	В Басманный суд Москвы поступил иск о лишении Леонида Брежнева всех наград	1	в басманный суд москвы поступил иск о лишении леонида брежнева всех наград
2616	ВМС США начали поиск замены истребителям Super Hornet	0	вмс сша начали поиск замены истребителям super hornet
1167	Дмитрий Набоков призвал не сравнивать Лауру с другими произведениями отца	0	дмитрий набоков призвал не сравнивать лауру с другими произведениями отца
3222	Названа новая смертельная опасность табачного дыма	0	названа новая смертельная опасность табачного дыма
3636	Победительницей чемпионата Roland Garros стала Серена Уильямс	0	победительницей чемпионата roland garros стала серена уильямс
2938	Для депутатов, не прошедших в новый состав Госдумы, организуют курсы по возвращению в реальную жизнь	1	для депутатов не прошедших в новый состав госдумы организуют курсы по возвращению в реальную жизнь
4491	Эстонская пресса обвиняет ВВС России в имитации массированного авианалета	0	эстонская пресса обвиняет ввс россии в имитации массированного авианалета
3140	Саратовская школа потратила бюджетный грант в 2,7 млн на баннер с надписью Наркотики – это плохо	1	саратовская школа потратила бюджетный грант в  млн на баннер с надписью наркотики  это плохо
4980	Шаттл Discovery отправился на мыс Канаверал	0	шаттл discovery отправился на мыс канаверал
143	Николай Лукашенко назвал своим кумиром Джастина Трюдо	1	николай лукашенко назвал своим кумиром джастина трюдо
3577	Американский горнолыжник Боде Миллер провоцирует допинговый скандал	0	американский горнолыжник боде миллер провоцирует допинговый скандал
4946	Губернатор Краснодарского края запретил нашествие саранчи	1	губернатор краснодарского края запретил нашествие саранчи
2782	Выигранный «Авангардом» кубок Гагарина пропал в 4-метровой дорожной яме	1	выигранный авангардом кубок гагарина пропал в метровой дорожной яме
717	Раскрыты подробности лечения Марьянова перед смертью	0	раскрыты подробности лечения марьянова перед смертью
1819	12 апреля в павильоне «Космос» на ВДНХ откроется выставка-продажа «Деликатесы Камчатки»	1	 апреля в павильоне космос на вднх откроется выставкапродажа деликатесы камчатки
2502	СК Республики Беларусь: «Ложное сообщение о минировании самолета было сделано с телефона Степана Путило»	1	ск республики беларусь ложное сообщение о минировании самолета было сделано с телефона степана путило
4360	Дмитрий Гудков назначен губернатором Одесской области	1	дмитрий гудков назначен губернатором одесской области
4171	Британцы отказываются от кредитных карт	0	британцы отказываются от кредитных карт
395	Обзор рынков: американские индексы рухнули	0	обзор рынков американские индексы рухнули
5560	«Трансаэро» отменила 44 рейса на 13 октября	0	трансаэро отменила  рейса на  октября
4492	Крупнейшие державы Европы согласились ввести общий банковский налог	0	крупнейшие державы европы согласились ввести общий банковский налог
1365	После инъекции вакциной от Pfizer выявлены случаи гомосексуализма	1	после инъекции вакциной от pfizer выявлены случаи гомосексуализма
5241	Тамбовский педагог возглавил список Forbes самых богатых учителей России	1	тамбовский педагог возглавил список forbes самых богатых учителей россии
595	Святая великомученица Надежда стала небесной покровительницей Пионерской организации	1	святая великомученица надежда стала небесной покровительницей пионерской организации
3952	Совет по правам человека реорганизуют в Совет по правам президента	1	совет по правам человека реорганизуют в совет по правам президента
4968	Говорящий робот Pepper принят в японскую среднюю школу	0	говорящий робот pepper принят в японскую среднюю школу
2914	Украинские атомщики возобновят поставки электроэнергии в Россию	0	украинские атомщики возобновят поставки электроэнергии в россию
2326	В РПЦ предложили преподавать предметы в школе на церковнославянском языке	1	в рпц предложили преподавать предметы в школе на церковнославянском языке
3766	По иску Деда Мороза Санта Клауса признали иностранным агентом	1	по иску деда мороза санта клауса признали иностранным агентом
3440	Болт вернул золотую медаль с ОИ-2008	0	болт вернул золотую медаль с ои
3851	«Некуда девать газ»: жители Калининградской области жалуются на слишком высокие объёмы бесплатного голубого топлива	1	некуда девать газ жители калининградской области жалуются на слишком высокие объёмы бесплатного голубого топлива
4132	Союз за женщин России предложил запретить в СМИ указывать цвет волос виновников ДТП	1	союз за женщин россии предложил запретить в сми указывать цвет волос виновников дтп
5275	Причиной массовой драки гастарбайтеров в Петербурге оказался спор о переводе поэмы Фирдоуси	1	причиной массовой драки гастарбайтеров в петербурге оказался спор о переводе поэмы фирдоуси
2143	В Госдуму внесли законопроект о запрете «санкционки» из ЕАЭС	0	в госдуму внесли законопроект о запрете санкционки из еаэс
5304	Эрдоган: Израиль заплатит за агрессию против ракет ХАМАС	1	эрдоган израиль заплатит за агрессию против ракет хамас
5073	«Матч ТВ» будет цензурировать форму сборной Украины в ходе трансляций ЕВРО-2020	1	матч тв будет цензурировать форму сборной украины в ходе трансляций евро
1571	Посол России начал раздавать борщ и гречку протестующим у Капитолия американцам	1	посол россии начал раздавать борщ и гречку протестующим у капитолия американцам
4079	Росинтербанк полностью перестал обслуживать своих клиентов	0	росинтербанк полностью перестал обслуживать своих клиентов
1122	Счетная палата обнаружила нарушения на 500 млн рублей при закупке лайков для поддержки провластных инициатив в соцсетях	1	счетная палата обнаружила нарушения на  млн рублей при закупке лайков для поддержки провластных инициатив в соцсетях
2786	Турецкий форвард Нихат отказался перейти в Спартак	0	турецкий форвард нихат отказался перейти в спартак
2967	Министр культуры: «Ради снятия санкций готовы проводить столько ЛГБТ-фестивалей, сколько потребуется»	1	министр культуры ради снятия санкций готовы проводить столько лгбтфестивалей сколько потребуется
2504	СКП обнаружил лишние 2,5 миллиарда рублей долга по зарплате	0	скп обнаружил лишние  миллиарда рублей долга по зарплате
3465	«Союз ТМА-08М» с космонавтами покинул МКС	0	союз тмам с космонавтами покинул мкс
675	Голосование за импичмент Трампа среди сенаторов проведут по почте	1	голосование за импичмент трампа среди сенаторов проведут по почте
2808	Чубайс предложил ограничить новогодние выходные тремя днями	1	чубайс предложил ограничить новогодние выходные тремя днями
3348	Водители элитных внедорожников повредили друг другу автомобили из-за неподеленной просрочки	1	водители элитных внедорожников повредили друг другу автомобили изза неподеленной просрочки
728	Для повышения финансовой грамотности чиновникам начнут выдавать карманные деньги	1	для повышения финансовой грамотности чиновникам начнут выдавать карманные деньги
412	Искусственный интеллект победил чемпиона мира по игре в го	0	искусственный интеллект победил чемпиона мира по игре в го
3146	Иранского двойника Месси задержали за нарушение общественного порядка	0	иранского двойника месси задержали за нарушение общественного порядка
1516	Космодром Восточный перенесут под Хабаровск	1	космодром восточный перенесут под хабаровск
825	Осужденные за участие в акциях в поддержку Навального отправлены на расчистку взлетно-посадочной полосы в Домодедово	1	осужденные за участие в акциях в поддержку навального отправлены на расчистку взлетнопосадочной полосы в домодедово
3267	«Ростелеком» потратит 760 миллионов рублей на российский аналог Twitter	1	ростелеком потратит  миллионов рублей на российский аналог twitter
3974	Московские музеи бесплатно проводят уникальные экскурсии	0	московские музеи бесплатно проводят уникальные экскурсии
616	Facebook представит собственный почтовый сервис 15 ноября	0	facebook представит собственный почтовый сервис  ноября
114	Канцлер Германии спас от банкротства крупнейшую строительную фирму	0	канцлер германии спас от банкротства крупнейшую строительную фирму
417	В Прибалтике запретили концерт группы Sabaton из-за песни о победе над нацистами	1	в прибалтике запретили концерт группы sabaton изза песни о победе над нацистами
3069	Порту Дмитрия Аленичева не смог переиграть Депортиво	0	порту дмитрия аленичева не смог переиграть депортиво
1625	ФСИН преобразуют в Рослаг	1	фсин преобразуют в рослаг
5697	Астрофизики сообщили о мощном гамма-всплеске	0	астрофизики сообщили о мощном гаммавсплеске
4185	Петербургской консерватории выбрали ректора	0	петербургской консерватории выбрали ректора
2896	Межведомственная комиссия перепишет финал Колобка	1	межведомственная комиссия перепишет финал колобка
5376	Владимира Кличко могли отравить нейролептиками	0	владимира кличко могли отравить нейролептиками
2082	РПЦ выпустит освященный вейп со вкусом ладана и мирры	1	рпц выпустит освященный вейп со вкусом ладана и мирры
753	Австралийские пловцы установили новый мировой рекорд в эстафете	0	австралийские пловцы установили новый мировой рекорд в эстафете
2546	Силуанов пообещал россиянам компенсировать рост цен повышением налогов	1	силуанов пообещал россиянам компенсировать рост цен повышением налогов
3969	В Госдуме предложили запретить обычным россиянам арендовать машины премиум-класса	1	в госдуме предложили запретить обычным россиянам арендовать машины премиумкласса
3373	Военный суд вынес приговор школьницам, уклонявшимся от вступления в «Юнармию»	1	военный суд вынес приговор школьницам уклонявшимся от вступления в юнармию
4107	Микробы научились спасаться от антибиотиков в «спячке»	0	микробы научились спасаться от антибиотиков в спячке
2444	Открытие второй сцены Мариинки отложили на полгода	0	открытие второй сцены мариинки отложили на полгода
4380	В Госдуме призвали запретить Google-переводчик за «издевательство над русским языком»	1	в госдуме призвали запретить googleпереводчик за издевательство над русским языком
1066	Счётная палата предложила «Роскосмосу» сократить расходы на любовниц руководства	1	счётная палата предложила роскосмосу сократить расходы на любовниц руководства
3913	Сбербанк обнулил комиссии для переводов в «Яндекс.Деньги» с карт других банков	0	сбербанк обнулил комиссии для переводов в яндексденьги с карт других банков
3498	Российские кинематографисты получили две награды в Карловых Варах	0	российские кинематографисты получили две награды в карловых варах
2738	В Дагестане зарплата учителей будет зависеть от полученных школьниками оценок	1	в дагестане зарплата учителей будет зависеть от полученных школьниками оценок
5052	Еврокомиссия потребовала поднять цены на газ в России	0	еврокомиссия потребовала поднять цены на газ в россии
4000	Россиян начнут штрафовать за превышение скорости интернета	1	россиян начнут штрафовать за превышение скорости интернета
1568	Участники ЧМ-2018 отгородятся от россиян шестиметровым забором	0	участники чм отгородятся от россиян шестиметровым забором
2427	Куба подала заявку на вступление в НАТО	1	куба подала заявку на вступление в нато
3746	На киностудии Горького прокомментировали сообщения о краже	0	на киностудии горького прокомментировали сообщения о краже
5335	В Татарстане вооружат кондукторов	1	в татарстане вооружат кондукторов
1687	В Новосибирске ввели чрезвычайное положение из-за начала таяния снега	1	в новосибирске ввели чрезвычайное положение изза начала таяния снега
851	Зюганов потребовал заменить партийную «Волгу» на Geely Emgrand	1	зюганов потребовал заменить партийную волгу на geely emgrand
3546	Статус иноагента будет передаваться по наследству	1	статус иноагента будет передаваться по наследству
895	Мозамбик признан мировым лидером по сокращению выхлопов углекислого газа и борьбе за права чернокожих	1	мозамбик признан мировым лидером по сокращению выхлопов углекислого газа и борьбе за права чернокожих
4592	Владимира Кличко обязали провести бой с болгарским боксером	0	владимира кличко обязали провести бой с болгарским боксером
335	В Париже завели дело о поддельных билетах в Лувр	0	в париже завели дело о поддельных билетах в лувр
2839	SWTOR появится в Европе и США одновременно	0	swtor появится в европе и сша одновременно
3087	Переход на четырёхдневную рабочую неделю коснётся только чиновников	1	переход на четырёхдневную рабочую неделю коснётся только чиновников
4611	На границе Алтайского края и Республики Алтай предложили учредить Алтайскую область	1	на границе алтайского края и республики алтай предложили учредить алтайскую область
1348	Зеленский включил Ивангая в нацсовет по делам голодомора, а Дудя - в санкционный список	1	зеленский включил ивангая в нацсовет по делам голодомора а дудя  в санкционный список
1015	Бейонсе и ДЖЕЙ-ЗИ оформили предполагаемые имена близнецов как товарный знак	0	бейонсе и джейзи оформили предполагаемые имена близнецов как товарный знак
2816	Разбор гостиницы Россия обойдется в 22 миллиона долларов	0	разбор гостиницы россия обойдется в  миллиона долларов
1631	За год будет выпущено 40 миллионов iPhone 3G	0	за год будет выпущено  миллионов iphone g
2489	Для Табакерки выстроят новое здание на месте прежнего Современника	0	для табакерки выстроят новое здание на месте прежнего современника
3730	Трамп подготовил новый удар в торговой войне с Китаем	0	трамп подготовил новый удар в торговой войне с китаем
3251	На сочинение новых песен Sigur Ros вдохновило Евровидение	0	на сочинение новых песен sigur ros вдохновило евровидение
5329	Дж. Дж. Абрамс приступил к съемкам фильма Супер 8	0	дж дж абрамс приступил к съемкам фильма супер 
2070	Джазмен Бутман на предупреждения Госдепа ответил письмом Обаме	0	джазмен бутман на предупреждения госдепа ответил письмом обаме
4452	Сборная Германии одержала первую победу на ЧМ по хоккею	0	сборная германии одержала первую победу на чм по хоккею
5652	Рональдо сделали операцию	0	рональдо сделали операцию
1635	Ратко Младич: «Однажды я рассказал Шойгу, как с помощью баржи и трех десятков мусульман можно устроить сербам праздник. Мы долго хохотали»	1	ратко младич однажды я рассказал шойгу как с помощью баржи и трех десятков мусульман можно устроить сербам праздник мы долго хохотали
4646	Психиатрическая больница им. Алексеева начала подготовку военных экспертов для российских телешоу	1	психиатрическая больница им алексеева начала подготовку военных экспертов для российских телешоу
2479	В Японии нашли пропавшие 1250 лет назад священные мечи	0	в японии нашли пропавшие  лет назад священные мечи
2265	Государственную границу защитят от иностранного интернета	1	государственную границу защитят от иностранного интернета
2959	Ванга предсказала помазание нового русского царя в сибирской тайге	1	ванга предсказала помазание нового русского царя в сибирской тайге
5444	Эминем начал работу над пятым альбомом	0	эминем начал работу над пятым альбомом
3059	Годовой убыток ирландского банка превысил 10 миллиардов евро	0	годовой убыток ирландского банка превысил  миллиардов евро
5053	Лукашенко анонсировал строительство второй АЭС в Белоруссии	0	лукашенко анонсировал строительство второй аэс в белоруссии
2141	В «Южном парке» вновь высмеяли Бритни Спирс	0	в южном парке вновь высмеяли бритни спирс
5104	Россиян, вылетающих на отдых в Турцию, будут инструктировать о недопустимости контактов с сотрудниками ФБК*	1	россиян вылетающих на отдых в турцию будут инструктировать о недопустимости контактов с сотрудниками фбк
3118	Вампир обошел Скруджа МакДака в рейтинге миллиардеров Forbes	0	вампир обошел скруджа макдака в рейтинге миллиардеров forbes
5188	Вдова Летова начала сбор денег на фильм о «Гражданской обороне»	0	вдова летова начала сбор денег на фильм о гражданской обороне
5436	Аделине Сотниковой сняли гипс	0	аделине сотниковой сняли гипс
4045	Роскомнадзор пообещал, что блокировка Twitter вызовет минимальное число аварий на АЭС	1	роскомнадзор пообещал что блокировка twitter вызовет минимальное число аварий на аэс
3356	Из-за сбоя в центре управления вакцинированными более 10 тысяч американцев проспали работу	1	изза сбоя в центре управления вакцинированными более  тысяч американцев проспали работу
2744	Лыжница принесла сборной России шестое золото Паралимпиады	0	лыжница принесла сборной россии шестое золото паралимпиады
5092	В России появится закон о нежелательных гражданах	1	в россии появится закон о нежелательных гражданах
3506	Евро впервые стал стоить больше 1,4 доллара	0	евро впервые стал стоить больше  доллара
1679	Курс доллара превысил 85 рублей	0	курс доллара превысил  рублей
4249	В декабре военные и пенсионеры заплатят 10 тысяч рублей в качестве чрезвычайного налога	1	в декабре военные и пенсионеры заплатят  тысяч рублей в качестве чрезвычайного налога
3147	Бывшим президентам России разрешат ездить по встречной полосе и парковаться на местах для инвалидов	1	бывшим президентам россии разрешат ездить по встречной полосе и парковаться на местах для инвалидов
2294	Первый канал продлил контракт с Екатериной Андреевой до 2040 года	1	первый канал продлил контракт с екатериной андреевой до  года
580	В первую неделю Всероссийской переписи населения выявлено 115 человек с фамилией Навальный	1	в первую неделю всероссийской переписи населения выявлено  человек с фамилией навальный
1470	Президент OPEC благодарит членов картеля за низкую цену на нефть	0	президент opec благодарит членов картеля за низкую цену на нефть
4799	С 1 января непривитым гражданам ограничат продажу бензина	1	с  января непривитым гражданам ограничат продажу бензина
4070	«Почта России» откроет пункты вакцинации и прекратит обслуживать непривитых клиентов	1	почта россии откроет пункты вакцинации и прекратит обслуживать непривитых клиентов
5308	Футболист «Динамо» задолжал агенту более 20 миллионов рублей	0	футболист динамо задолжал агенту более  миллионов рублей
3343	Премьер-министр России подарил президенту Туркменистана его портрет от студии Monro-Art и финку НКВД	1	премьерминистр россии подарил президенту туркменистана его портрет от студии monroart и финку нквд
4992	Марина Вульф будет курировать вопросы транзита газа на Украине	1	марина вульф будет курировать вопросы транзита газа на украине
4583	РПЦ введёт QR-коды для посещения храмов	1	рпц введёт qrкоды для посещения храмов
3672	Сборная России вышла в четвертьфинал чемпионата мира	0	сборная россии вышла в четвертьфинал чемпионата мира
559	Овечкин забил в первом матче сезона НХЛ	0	овечкин забил в первом матче сезона нхл
5237	Костин предрек еще три года санкционного безумия	0	костин предрек еще три года санкционного безумия
5215	В сети появилось видео последнего поединка боксера Майка Тоуэлла	0	в сети появилось видео последнего поединка боксера майка тоуэлла
2849	Глава ФРС отчитается перед Конгрессом о покупке активов Bear Stearns	0	глава фрс отчитается перед конгрессом о покупке активов bear stearns
512	Человек-паук сразится с Джиаматти-Носорогом	0	человекпаук сразится с джиаматтиносорогом
4729	Режиссер Отверженных заставит актеров петь на съемочной площадке	0	режиссер отверженных заставит актеров петь на съемочной площадке
1081	Органы ювенальной юстиции Нидерландов добились принудительной операции по смене пола для пятилетнего мальчика	1	органы ювенальной юстиции нидерландов добились принудительной операции по смене пола для пятилетнего мальчика
1664	Ягра признали лучшим форвардом недели	0	ягра признали лучшим форвардом недели
1012	СК объявил в розыск бульдозериста, причастного к несанкционированной утилизации российской моркови	1	ск объявил в розыск бульдозериста причастного к несанкционированной утилизации российской моркови
1931	Госпитализированный после силового приема датский хоккеист пропустит остаток ЧМ	0	госпитализированный после силового приема датский хоккеист пропустит остаток чм
1150	В Англии недовольны уходом Смертина в Динамо	0	в англии недовольны уходом смертина в динамо
2838	Star Ocean: The Last Hope выйдет на неделю раньше обещанного	0	star ocean the last hope выйдет на неделю раньше обещанного
116	В России пометят все лекарства	0	в россии пометят все лекарства
740	Ко Дню космонавтики Роскосмос впервые показал аутентичный блок самоуничтожения капсулы Гагарина	1	ко дню космонавтики роскосмос впервые показал аутентичный блок самоуничтожения капсулы гагарина
5526	Эксперт предсказал Афганистану взрывной рост экономики	1	эксперт предсказал афганистану взрывной рост экономики
5177	Владимир Путин записался в тюменскую библиотеку	0	владимир путин записался в тюменскую библиотеку
3675	Пенсионеров, участвующих в программе реновации, переселят за 101-й километр	1	пенсионеров участвующих в программе реновации переселят за й километр
830	Аргентина согласилась заплатить Repsol за национализацию «дочки»	0	аргентина согласилась заплатить repsol за национализацию дочки
119	Для предотвращения дальнейших испражнений на улицу в Петербурге демонтируют все балконы	1	для предотвращения дальнейших испражнений на улицу в петербурге демонтируют все балконы
4752	ФАС согласилась принять в качестве штрафа от Apple 3 тысячи iPhone и MacBook	1	фас согласилась принять в качестве штрафа от apple  тысячи iphone и macbook
5591	Дидье Дрогба объявил об уходе из Челси	0	дидье дрогба объявил об уходе из челси
5452	Российского читателя знакомят с канадским и американским бестселлерами	0	российского читателя знакомят с канадским и американским бестселлерами
5686	Набоков пропустил пять шайб в матче НХЛ	0	набоков пропустил пять шайб в матче нхл
635	Не является автомобилем: преступника оправдали за угон УАЗ Патриот	1	не является автомобилем преступника оправдали за угон уаз патриот
4465	Автомобиль, собранный депутатами «Единой России», больше года не могут продать в автосалоне	1	автомобиль собранный депутатами единой россии больше года не могут продать в автосалоне
4364	В Польше и Эстонии продаются два острова	0	в польше и эстонии продаются два острова
4142	В мэрии Москвы назвали улицы, где появятся первые платные тротуары	1	в мэрии москвы назвали улицы где появятся первые платные тротуары
991	Мошенник, оформлявший итальянские виллы на российских чиновников, задержан в Милане	1	мошенник оформлявший итальянские виллы на российских чиновников задержан в милане
876	Аллен Айверсон дебютировал в турецком клубе	0	аллен айверсон дебютировал в турецком клубе
4869	Universal выпустила новый альбом Децла с запрещенной песней	0	universal выпустила новый альбом децла с запрещенной песней
5315	Гринспен опять заявил в Конгрессе о возможных угрозах экономике США	0	гринспен опять заявил в конгрессе о возможных угрозах экономике сша
5222	Британская киноакадемия признала Искупление лучшим фильмом	0	британская киноакадемия признала искупление лучшим фильмом
4	Против Навального завели дело о недоносительстве на Волкова	1	против навального завели дело о недоносительстве на волкова
3051	В двадцатку лучших инвесторов на РТС попали три робота	0	в двадцатку лучших инвесторов на ртс попали три робота
3124	Журнал World Soccer включил украинского футболиста в список лучших игроков года	0	журнал world soccer включил украинского футболиста в список лучших игроков года
2660	Роскомнадзор проверит на пропаганду гомосексуализма мультфильмы Голубой щенок и Летучий корабль	1	роскомнадзор проверит на пропаганду гомосексуализма мультфильмы голубой щенок и летучий корабль
2491	Представлена новая версия телеприставки Apple TV	0	представлена новая версия телеприставки apple tv
5173	Ученые разработали квантовые наномоторы	0	ученые разработали квантовые наномоторы
3854	Тренеру Милана нашли замену	0	тренеру милана нашли замену
4933	Роспотребнадзор разрешил продажу алкоголя на майские праздники в Якутии и Бурятии	1	роспотребнадзор разрешил продажу алкоголя на майские праздники в якутии и бурятии
4777	Глава Сбербанка пробежит с олимпийским огнем по Санкт-Петербургу	0	глава сбербанка пробежит с олимпийским огнем по санктпетербургу
1715	Нафтогаз отрицает наличие двухмиллиардного долга перед RosUkrEnergo	0	нафтогаз отрицает наличие двухмиллиардного долга перед rosukrenergo
1148	«Кубань» впервые вышла в групповой этап Лиги Европы	0	кубань впервые вышла в групповой этап лиги европы
3261	Анатолий Чубайс: «Нежелание россиян вакцинироваться говорит о бесполезности бесплатной медицины»	1	анатолий чубайс нежелание россиян вакцинироваться говорит о бесполезности бесплатной медицины
574	На матче Спартак — Амкар в Москве задержаны 28 болельщиков	0	на матче спартак  амкар в москве задержаны  болельщиков
3769	Чиновники создадут новую форму юрлица для реорганизации госкорпораций	0	чиновники создадут новую форму юрлица для реорганизации госкорпораций
3736	По итогам Всероссийской переписи обнаружено 800 тысяч кубаноидов	1	по итогам всероссийской переписи обнаружено  тысяч кубаноидов
4146	ВВС Германии отработали бомбардировки городских объектов, ориентируясь на световые сигналы фонариков и смартфонов	1	ввс германии отработали бомбардировки городских объектов ориентируясь на световые сигналы фонариков и смартфонов
